state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
16,ID,2023-10-21,10.05,16.37,26.63,11.84
16,ID,2023-10-28,9.31,17.28,19.97,14.5
16,ID,2023-11-04,10.05,11.41,22.71,6.11
16,ID,2023-11-11,5.4,13.72,13.54,8.58
16,ID,2023-11-18,7.18,6.37,4.19,26.28
16,ID,2023-11-25,2.79,7.98,13.45,74.28
16,ID,2023-12-02,15.18,23.15,56.58,122.28
16,ID,2023-12-09,34.79,70.55,104.58,116.28
16,ID,2023-12-16,82.79,118.55,98.58,61.28
16,ID,2023-12-23,130.79,112.55,43.58,47.28
16,ID,2023-12-30,124.79,57.55,30.1,28.28
16,ID,2024-01-06,69.79,43.55,14.84,30.28
16,ID,2024-01-13,55.79,24.98,16.32,20.54
16,ID,2024-01-20,36.79,26.81,9.71,18.71
16,ID,2024-01-27,38.79,18.2,8.58,49.28
16,ID,2024-02-03,28.79,16.72,31.93,20.54
16,ID,2024-02-10,26.79,45.55,9.71,29.28
16,ID,2024-02-17,57.79,18.2,15.58,27.28
16,ID,2024-02-24,28.79,25.89,14.1,15.32
16,ID,2024-03-02,37.79,24.07,6.67,7.93
16,ID,2024-03-09,35.79,13.76,4.06,2.63
16,ID,2024-03-16,22.96,7.41,6.41,11.02
16,ID,2024-03-23,14.36,3.33,19.06,8.8
16,ID,2024-03-30,5.23,10.68,16.58,8.06
