state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
19,IA,2023-10-14,1.86,2.61,8.32,11.32,6.0275
19,IA,2023-10-21,1.45,2.3,5.29,6.28,3.83
19,IA,2023-10-28,1.65,5.3,6.29,19.28,8.129999999999999
19,IA,2023-11-04,3.73,2.52,13.13,31.27,12.662500000000001
19,IA,2023-11-11,4.47,14.13,30.13,31.27,20.0
19,IA,2023-11-18,10.23,23.78,19.51,19.31,18.207500000000003
19,IA,2023-11-25,21.46,15.34,17.34,42.74,24.22
19,IA,2023-12-02,2.64,9.03,8.36,24.1,11.0325
19,IA,2023-12-09,4.5,6.16,9.61,50.28,17.6375
19,IA,2023-12-16,11.62,4.79,27.4,82.67,31.62
19,IA,2023-12-23,10.34,53.55,123.45,191.33,94.6675
19,IA,2023-12-30,27.61,80.53,124.79,226.75,114.92
19,IA,2024-01-06,60.41,96.78,179.2,231.32,141.9275
19,IA,2024-01-13,43.1,93.64,111.39,174.81,105.735
19,IA,2024-01-27,30.52,41.57,62.34,102.99,59.355000000000004
19,IA,2024-02-03,24.73,48.61,89.16,120.15,70.6625
19,IA,2024-02-10,23.58,59.44,94.89,94.98,68.2225
19,IA,2024-02-17,40.36,65.77,66.36,7.02,44.877500000000005
19,IA,2024-02-24,61.92,69.5,8.99,5.16,36.392500000000005
19,IA,2024-03-02,59.92,11.38,5.02,5.15,20.3675
19,IA,2024-03-09,11.93,27.43,34.36,41.43,28.7875
19,IA,2024-03-16,26.91,30.54,37.11,55.76,37.58
19,IA,2024-03-23,30.91,38.54,56.11,65.76,47.83
19,IA,2024-03-30,19.68,37.76,45.37,73.75,44.14
