state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
39,OH,2023-10-14,5.45,2.48,1.65,2.56
39,OH,2023-10-21,2.28,1.01,3.13,26.54
39,OH,2023-10-28,0.87,2.79,30.08,45.21
39,OH,2023-11-04,2.06,29.15,44.06,100.05
39,OH,2023-11-11,30.72,48.15,103.06,127.05
39,OH,2023-11-18,46.87,104.2,123.26,199.32
39,OH,2023-11-25,87.05,103.77,185.19,361.04
39,OH,2023-12-02,16.88,13.36,43.42,35.26
39,OH,2023-12-09,36.72,120.69,179.7,31.78
39,OH,2023-12-16,127.14,183.57,26.76,229.05
39,OH,2023-12-23,38.07,209.55,631.6,1230.05
39,OH,2023-12-30,314.47,795.49,1506.84,2430.32
39,OH,2024-01-06,491.16,1024.92,1655.08,2692.87
39,OH,2024-01-13,440.85,740.04,1271.86,2003.13
39,OH,2024-01-27,174.58,284.95,366.29,478.29
39,OH,2024-02-03,120.41,170.87,273.51,297.63
39,OH,2024-02-10,42.92,87.97,89.72,92.81
39,OH,2024-02-17,100.77,93.37,95.45,50.38
39,OH,2024-02-24,38.7,33.12,162.29,247.9
39,OH,2024-03-02,29.66,171.67,253.29,269.9
39,OH,2024-03-09,199.78,281.17,299.87,269.03
39,OH,2024-03-16,188.23,195.74,153.78,214.54
39,OH,2024-03-23,210.23,170.74,231.78,296.54
39,OH,2024-03-30,21.41,44.13,97.38,109.14
