state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
4,AZ,2023-10-14,38.47,40.59,37.46,124.16,60.17
4,AZ,2023-10-21,21.74,22.58,111.31,160.54,79.04249999999999
4,AZ,2023-10-28,23.74,103.58,170.31,181.54,119.79249999999999
4,AZ,2023-11-04,75.2,125.27,134.32,188.61,130.85
4,AZ,2023-11-11,134.2,146.27,201.32,303.61,196.35000000000002
4,AZ,2023-11-18,66.38,95.74,159.46,308.12,157.425
4,AZ,2023-11-25,50.99,87.66,199.5,431.4,192.3875
4,AZ,2023-12-02,27.65,49.7,96.34,163.07,84.19
4,AZ,2023-12-09,74.46,167.12,95.51,269.35,151.61
4,AZ,2023-12-16,303.73,230.9,102.51,616.76,313.475
4,AZ,2023-12-23,34.19,543.57,1254.86,1912.3,936.23
4,AZ,2023-12-30,556.17,1272.66,1928.5,2725.71,1620.76
4,AZ,2024-01-06,803.0,1315.98,1978.39,2977.31,1768.67
4,AZ,2024-01-13,735.54,1171.3,1911.34,2578.39,1599.1425
4,AZ,2024-01-27,133.44,236.52,162.83,110.97,160.94000000000003
4,AZ,2024-02-03,173.08,97.0,47.63,27.56,86.31750000000001
4,AZ,2024-02-10,16.81,8.61,15.98,6.62,12.004999999999999
4,AZ,2024-02-17,19.57,30.42,14.64,37.68,25.5775
4,AZ,2024-02-24,22.97,8.85,29.27,21.7,20.6975
4,AZ,2024-03-02,8.71,12.68,11.04,15.06,11.8725
4,AZ,2024-03-09,20.13,13.31,19.45,21.57,18.615000000000002
4,AZ,2024-03-16,9.31,15.54,15.89,29.12,17.465
4,AZ,2024-03-23,6.51,7.39,19.2,23.34,14.11
4,AZ,2024-03-30,11.9,24.34,25.32,60.69,30.5625
