state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
35,NM,2023-10-14,6.06,8.5,7.05,8.35
35,NM,2023-10-21,7.95,2.77,5.79,5.32
35,NM,2023-10-28,1.21,3.51,3.43,1.68
35,NM,2023-11-04,1.96,3.56,9.83,30.23
35,NM,2023-11-11,4.21,12.02,31.83,76.23
35,NM,2023-11-18,8.89,29.54,73.13,139.85
35,NM,2023-11-25,28.74,72.91,142.47,208.17
35,NM,2023-12-02,48.97,89.72,117.3,64.18
35,NM,2023-12-09,62.0,54.8,20.07,108.63
35,NM,2023-12-16,49.8,34.2,229.62,639.0
35,NM,2023-12-23,168.24,508.54,1190.78,2251.0
35,NM,2023-12-30,207.34,555.48,1030.86,1736.45
35,NM,2024-01-06,289.27,563.57,923.67,1474.04
35,NM,2024-01-13,213.47,378.8,631.09,958.21
35,NM,2024-01-27,23.34,43.59,50.06,51.37
35,NM,2024-02-03,23.4,31.57,29.42,42.02
35,NM,2024-02-10,20.13,23.08,33.37,57.25
35,NM,2024-02-17,11.39,19.39,44.69,18.79
35,NM,2024-02-24,14.7,42.22,17.45,33.81
35,NM,2024-03-02,30.7,10.25,29.45,12.81
35,NM,2024-03-09,4.08,16.12,4.33,12.48
35,NM,2024-03-16,14.99,3.18,11.14,1.79
35,NM,2024-03-23,2.5,5.27,2.45,2.4
35,NM,2024-03-30,5.47,3.58,4.79,2.14
