state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
17,IL,2023-10-14,5.21,1.74,6.42,25.23,9.65
17,IL,2023-10-21,0.96,7.79,26.68,41.57,19.25
17,IL,2023-10-28,8.34,26.57,44.68,71.57,37.79
17,IL,2023-11-04,22.82,38.58,65.18,124.65,62.807500000000005
17,IL,2023-11-11,40.82,68.58,128.18,164.65,100.5575
17,IL,2023-11-18,52.7,111.39,144.61,184.59,123.32250000000002
17,IL,2023-11-25,93.78,123.95,159.27,357.29,183.5725
17,IL,2023-12-02,21.29,6.77,36.4,20.56,21.255
17,IL,2023-12-09,7.5,74.01,23.38,183.42,72.0775
17,IL,2023-12-16,138.08,116.89,51.88,372.16,169.7525
17,IL,2023-12-23,18.32,295.84,777.77,1321.47,603.3499999999999
17,IL,2023-12-30,224.37,650.79,1114.29,1755.63,936.27
17,IL,2024-01-06,471.8,844.68,1356.05,1977.5,1162.5075
17,IL,2024-01-13,391.43,705.58,1056.16,1554.87,927.01
17,IL,2024-01-27,62.73,87.36,134.18,203.27,121.88499999999999
17,IL,2024-02-03,35.03,76.6,143.27,202.17,114.2675
17,IL,2024-02-10,56.83,122.13,179.66,139.25,124.4675
17,IL,2024-02-17,89.15,144.17,103.03,109.67,111.50500000000001
17,IL,2024-02-24,119.36,76.38,78.0,55.93,82.4175
17,IL,2024-03-02,57.36,65.38,36.0,43.93,50.667500000000004
17,IL,2024-03-09,23.21,10.19,10.42,8.57,13.0975
17,IL,2024-03-16,8.55,8.79,7.69,9.47,8.625
17,IL,2024-03-23,8.34,10.02,7.66,33.48,14.875
17,IL,2024-03-30,6.33,10.16,23.05,49.83,22.3425
