state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
51,VA,2023-10-14,14.32,5.63,3.07,19.55
51,VA,2023-10-21,2.18,6.67,14.17,15.8
51,VA,2023-10-28,4.62,25.02,22.17,30.8
51,VA,2023-11-04,15.38,15.93,25.06,45.35
51,VA,2023-11-11,22.82,30.18,52.92,59.35
51,VA,2023-11-18,23.62,42.85,51.05,115.47
51,VA,2023-11-25,38.45,39.52,99.81,278.63
51,VA,2023-12-02,5.58,17.41,129.84,357.1
51,VA,2023-12-09,35.16,170.45,429.48,161.75
51,VA,2023-12-16,190.34,449.81,183.36,14.33
51,VA,2023-12-23,273.27,16.64,230.06,483.16
51,VA,2023-12-30,99.3,443.88,797.41,1171.31
51,VA,2024-01-06,347.31,666.7,998.32,1454.42
51,VA,2024-01-13,386.44,611.61,929.24,1237.06
51,VA,2024-01-27,10.74,12.22,43.14,69.43
51,VA,2024-02-03,14.94,53.49,86.14,115.7
51,VA,2024-02-10,45.12,85.51,110.13,121.48
51,VA,2024-02-17,56.99,87.38,96.19,67.89
51,VA,2024-02-24,59.53,69.25,49.29,49.57
51,VA,2024-03-02,49.19,34.96,35.98,26.68
51,VA,2024-03-09,16.89,15.3,9.61,43.45
51,VA,2024-03-16,13.68,8.02,38.42,16.67
51,VA,2024-03-23,6.62,29.84,10.22,6.59
51,VA,2024-03-30,41.51,14.84,6.14,6.51
