state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
02,AK,2023-10-14,8.27,14.7,22.01,23.04
02,AK,2023-10-21,5.17,9.83,9.76,9.28
02,AK,2023-10-28,13.64,12.8,15.21,3.41
02,AK,2023-11-11,1.89,29.17,45.34,62.49
02,AK,2023-11-18,18.47,32.17,44.34,63.49
02,AK,2023-11-25,35.55,48.48,65.75,96.66
02,AK,2023-12-02,22.39,32.95,52.51,62.87
02,AK,2023-12-09,1.63,3.28,2.01,2.31
02,AK,2023-12-16,0.44,1.7,2.15,0.7
02,AK,2023-12-23,0.68,2.51,1.75,3.92
02,AK,2023-12-30,1.73,1.8,2.42,6.13
02,AK,2024-01-06,0.95,3.23,7.51,4.92
02,AK,2024-01-13,1.17,5.36,4.17,6.1
02,AK,2024-01-20,7.54,3.76,2.52,9.19
02,AK,2024-02-03,5.92,8.88,0.31,1.12
02,AK,2024-02-10,7.29,0.59,0.86,8.98
02,AK,2024-02-17,1.0,0.8,7.66,1.19
02,AK,2024-02-24,1.0,3.33,3.51,6.45
02,AK,2024-03-02,5.53,1.02,2.63,8.87
02,AK,2024-03-09,1.06,4.55,3.2,6.87
02,AK,2024-03-16,3.24,5.68,5.86,1.98
02,AK,2024-03-23,5.64,6.17,2.12,4.73
02,AK,2024-03-30,3.64,5.17,2.78,0.38
02,AK,2024-04-06,0.53,4.92,1.06,1.48
