state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
47,TN,2023-10-14,1.84,3.63,5.56,5.01,4.01
47,TN,2023-10-21,2.19,2.71,2.43,3.92,2.8125
47,TN,2023-10-28,2.19,2.26,5.94,14.25,6.16
47,TN,2023-11-04,1.55,2.86,18.89,32.15,13.8625
47,TN,2023-11-11,8.24,14.92,43.44,87.15,38.4375
47,TN,2023-11-18,17.93,42.19,94.79,117.71,68.155
47,TN,2023-11-25,33.89,87.09,107.76,218.85,111.89750000000001
47,TN,2023-12-02,33.87,28.62,88.29,272.85,105.9075
47,TN,2023-12-09,25.46,79.02,252.63,102.05,114.79
47,TN,2023-12-16,81.14,260.16,103.1,26.88,117.82
47,TN,2023-12-23,154.58,13.24,182.09,395.53,186.36
47,TN,2023-12-30,88.59,412.33,776.05,1308.81,646.4449999999999
47,TN,2024-01-06,329.21,655.75,1143.38,1777.59,976.4825000000001
47,TN,2024-01-13,312.44,623.66,982.04,1410.69,832.2075
47,TN,2024-01-27,6.85,15.9,43.67,86.66,38.269999999999996
47,TN,2024-02-03,20.32,52.47,100.34,161.78,83.72749999999999
47,TN,2024-02-10,49.67,99.11,156.34,130.69,108.9525
47,TN,2024-02-17,61.42,123.01,107.06,63.91,88.85
47,TN,2024-02-24,84.81,53.89,25.77,35.47,49.985
47,TN,2024-03-02,39.78,13.47,22.81,7.17,20.8075
47,TN,2024-03-09,8.29,6.93,12.81,6.7,8.682500000000001
47,TN,2024-03-16,7.11,8.91,6.69,4.49,6.800000000000001
47,TN,2024-03-23,17.17,4.53,7.69,10.83,10.055000000000001
47,TN,2024-03-30,6.49,4.89,7.57,9.66,7.1525
