state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
40,OK,2023-10-21,206.37,150.2,110.74,55.42,130.6825
40,OK,2023-10-28,198.37,134.2,107.74,58.42,124.6825
40,OK,2023-11-04,182.37,131.2,110.74,24.99,112.325
40,OK,2023-11-11,179.37,134.2,73.74,32.9,105.0525
40,OK,2023-11-18,182.37,97.2,83.74,15.68,94.7475
40,OK,2023-11-25,145.37,107.2,59.74,24.25,84.14
40,OK,2023-12-02,155.37,83.2,11.79,12.21,65.6425
40,OK,2023-12-09,131.37,23.42,20.09,36.07,52.737500000000004
40,OK,2023-12-16,60.63,37.2,9.7,72.34,44.9675
40,OK,2023-12-23,79.37,15.85,20.48,111.34,56.760000000000005
40,OK,2023-12-30,47.85,11.59,46.52,204.34,77.575
40,OK,2024-01-06,22.71,27.28,134.13,279.34,115.865
40,OK,2024-01-13,12.58,104.02,209.13,327.34,163.26749999999998
40,OK,2024-01-20,51.93,179.02,257.13,249.34,184.35500000000002
40,OK,2024-01-27,116.85,227.02,179.13,33.03,139.0075
40,OK,2024-02-03,164.85,149.02,9.87,40.21,90.9875
40,OK,2024-02-10,88.5,17.42,9.83,41.86,39.4025
40,OK,2024-02-17,50.8,14.07,10.0,13.16,22.0075
40,OK,2024-02-24,44.15,13.46,19.05,11.21,21.9675
40,OK,2024-03-02,42.67,35.72,51.44,12.55,35.595
40,OK,2024-03-09,77.45,74.2,54.18,31.25,59.27
40,OK,2024-03-16,122.37,77.2,81.74,56.42,84.4325
40,OK,2024-03-23,125.37,105.2,108.74,61.42,100.1825
40,OK,2024-03-30,153.37,132.2,113.74,61.42,115.1825
