state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
35,NM,2023-10-21,416.25,279.87,210.89,97.74,251.1875
35,NM,2023-10-28,408.25,280.87,207.89,88.74,246.4375
35,NM,2023-11-04,409.25,277.87,198.89,66.74,238.1875
35,NM,2023-11-11,406.25,268.87,176.89,24.22,219.0575
35,NM,2023-11-18,397.25,246.87,130.89,13.78,197.1975
35,NM,2023-11-25,375.25,200.87,64.54,73.56,178.555
35,NM,2023-12-02,329.25,132.87,17.37,78.56,139.5125
35,NM,2023-12-09,261.25,63.69,15.84,71.56,103.085
35,NM,2023-12-16,186.25,60.0,17.97,12.43,69.16250000000001
35,NM,2023-12-23,181.25,65.17,67.1,9.91,80.8575
35,NM,2023-12-30,188.25,135.87,105.89,14.43,111.11
35,NM,2024-01-06,264.25,175.87,115.89,33.7,147.4275
35,NM,2024-01-13,304.25,185.87,142.89,32.87,166.47
35,NM,2024-01-20,314.25,212.87,141.89,37.26,176.5675
35,NM,2024-01-27,341.25,211.87,146.89,49.74,187.4375
35,NM,2024-02-03,340.25,216.87,159.89,48.74,191.4375
35,NM,2024-02-10,345.25,229.87,158.89,33.7,191.9275
35,NM,2024-02-17,358.25,228.87,142.89,64.74,198.6875
35,NM,2024-02-24,357.25,212.87,174.89,52.74,199.4375
35,NM,2024-03-02,341.25,244.87,162.89,73.74,205.6875
35,NM,2024-03-09,373.25,232.87,183.89,68.74,214.6875
35,NM,2024-03-16,361.25,253.87,178.89,90.74,221.1875
35,NM,2024-03-23,382.25,248.87,200.89,94.74,231.6875
35,NM,2024-03-30,377.25,270.87,204.89,89.74,235.6875
